event_id	doc	fmt	gender	stage	stage_id	duration	start	a_id	b_id	x_id	y_id	res_a	res_x	scores
2739	TTEXDOUBLES-----------FNL-000100----------	D	X	FNL	000100	1911	2023-09-02 14:45:00	123971	200413	121582	114105	3	1	11-8,11-7,4-11,11-6
2739	TTEWSINGLES-----------FNL-000100----------	S	W	FNL	000100	1960	2023-09-03 10:00:00	135049		119529		4	0	11-6,12-10,11-8,11-6
2739	TTEMDOUBLES-----------FNL-000100----------	D	M	FNL	000100	1798	2023-09-03 12:10:00	119284	105197	137237	131148	1	3	10-12,11-3,9-11,4-11
2739	TTEMSINGLES-----------FNL-000100----------	S	M	FNL	000100	3129	2023-09-03 10:45:00	121582		135888		4	1	4-11,12-10,15-13,11-9,11-7
2739	TTEWDOUBLES-----------FNL-000100----------	D	W	FNL	000100	2244	2023-09-03 11:30:00	132132	135049	133894	119529	3	1	12-10,10-12,12-10,11-4
2739	TTEXDOUBLES-----------SFNL000100----------	D	X	SFNL	000100	1824	2023-09-01 14:40:00	132992	137894	123971	200413	1	3	7-11,10-12,11-8,7-11
2739	TTEXDOUBLES-----------SFNL000200----------	D	X	SFNL	000200	2000	2023-09-01 12:00:00	135888	133894	121582	114105	1	3	11-9,6-11,7-11,6-11
2739	TTEWSINGLES-----------SFNL000100----------	S	W	SFNL	000100	1924	2023-09-02 13:20:00	114726		135049		1	3	11-8,4-11,6-11,9-11
2739	TTEWDOUBLES-----------SFNL000200----------	D	W	SFNL	000200	1484	2023-09-02 09:10:00	133894	119529	135373	123113	3	0	11-9,12-10,11-2
2739	TTEMSINGLES-----------SFNL000200----------	S	M	SFNL	000200	2304	2023-09-02 14:00:00	102841		135888		1	3	12-10,9-11,9-11,8-11
2739	TTEMDOUBLES-----------SFNL000100----------	D	M	SFNL	000100	1117	2023-09-02 08:35:00	119284	105197	135977	116612	3	0	11-5,12-10,11-3
2739	TTEMDOUBLES-----------SFNL000200----------	D	M	SFNL	000200	1247	2023-09-02 09:45:00	137733	133893	137237	131148	0	3	7-11,8-11,8-11
2739	TTEMSINGLES-----------SFNL000100----------	S	M	SFNL	000100	3091	2023-09-02 12:40:00	121582		122044		3	2	11-5,11-13,13-11,7-11,11-9
2739	TTEWSINGLES-----------SFNL000200----------	S	W	SFNL	000200	3020	2023-09-02 12:00:00	119529		123120		3	2	12-10,9-11,3-11,11-8,11-4
2739	TTEWDOUBLES-----------SFNL000100----------	D	W	SFNL	000100	1550	2023-09-02 08:00:00	133814	119285	132132	135049	0	3	7-11,7-11,8-11
2739	TTEMDOUBLES-----------QFNL000100----------	D	M	QFNL	000100	1232	2023-09-01 09:20:00	119284	105197	114709	123659	3	0	11-6,11-9,11-4
2739	TTEWSINGLES-----------QFNL000300----------	S	W	QFNL	000300	2460	2023-09-02 04:00:00	119529		137894		3	1	7-11,11-6,11-9,11-9
2739	TTEXDOUBLES-----------QFNL000400----------	D	X	QFNL	000400	1215	2023-09-01 04:00:00	115559	119089	121582	114105	0	3	6-11,9-11,6-11
2739	TTEMDOUBLES-----------QFNL000400----------	D	M	QFNL	000400	1202	2023-09-01 07:35:00	116723	111959	137237	131148	0	3	4-11,4-11,7-11
2739	TTEXDOUBLES-----------QFNL000300----------	D	X	QFNL	000300	1134	2023-09-01 04:00:00	137568	133113	135888	133894	0	3	8-11,7-11,5-11
2739	TTEXDOUBLES-----------QFNL000100----------	D	X	QFNL	000100	916	2023-09-01 04:35:00	132992	137894	111959	113908	3	0	11-8,11-5,11-7
2739	TTEWSINGLES-----------QFNL000200----------	S	W	QFNL	000200	2774	2023-09-02 05:20:00	200908		135049		1	3	12-10,7-11,9-11,9-11
2739	TTEMDOUBLES-----------QFNL000300----------	D	M	QFNL	000300	957	2023-09-01 07:00:00	120845	115559	137733	133893	0	3	3-11,5-11,8-11
2739	TTEWDOUBLES-----------QFNL000100----------	D	W	QFNL	000100	2149	2023-09-01 09:55:00	133814	119285	123120	200908	3	1	9-11,11-4,11-9,11-9
2739	TTEXDOUBLES-----------QFNL000200----------	D	X	QFNL	000200	1198	2023-09-01 04:35:00	103903	111012	123971	200413	0	3	9-11,5-11,10-12
2739	TTEMSINGLES-----------QFNL000400----------	S	M	QFNL	000400	2378	2023-09-02 06:00:00	135888		135887		3	1	11-9,13-11,6-11,12-10
